icd10	term
C924	Acute promyelocytic leukemia, in remission
C925	Acute myelomonocytic leukemia, in remission
C925	Acute myelomonocytic leukemia, in relapse
C925	Acute myelomonocytic leukemia, not having achieved remission
C926	Acute myeloid leukemia with 11q23-abnormality in relapse
C926	Acute myeloid leukemia with 11q23-abnormality not having achieved remission
C926	Acute myeloid leukemia with 11q23-abnormality in remission
C927	Other myeloid leukaemia
C928	Acute myeloid leukaemia with multilineage dysplasia
C929	Myeloid leukemia, unspecified in relapse
C929	Myeloid leukemia, unspecified, not having achieved remission
C929	Myeloid leukemia, unspecified in remission
C930	Acute monoblastic/monocytic leukemia, in relapse
C930	Acute monoblastic/monocytic leukemia, not having achieved remission
C930	Acute monoblastic/monocytic leukemia, in remission
C931	Chronic myelomonocytic leukemia, in remission
C931	Chronic myelomonocytic leukemia not having achieved remission
C931	Chronic myelomonocytic leukemia, in relapse
C933	Juvenile myelomonocytic leukemia, in remission
C933	Juvenile myelomonocytic leukemia, not having achieved remission
C933	Juvenile myelomonocytic leukemia, in relapse
C937	Other monocytic leukaemia
C939	Monocytic leukemia, unspecified, not having achieved remission
C939	Monocytic leukemia, unspecified in remission
C939	Monocytic leukemia, unspecified in relapse
C940	Acute erythroid leukemia, not having achieved remission
C940	Acute erythroid leukemia, in relapse
C940	Acute erythroid leukemia, in remission
C942	Acute megakaryoblastic leukemia not having achieved remission
C942	Acute megakaryoblastic leukemia, in relapse
C942	Acute megakaryoblastic leukemia, in remission
C943	Mast cell leukemia not having achieved remission
C943	Mast cell leukemia, in remission
C943	Mast cell leukemia, in relapse
C944	Acute panmyelosis with myelofibrosis, in remission
C944	Acute panmyelosis with myelofibrosis, in relapse
C944	Acute panmyelosis with myelofibrosis not having achieved remission
C946	Myelodysplastic disease, not classified
C947	Other specified leukaemias
C948	Other specified leukemias not having achieved remission
C948	Other specified leukemias, in relapse
C948	Other specified leukemias, in remission
C950	Acute leukemia of unspecified cell type not having achieved remission
C950	Acute leukemia of unspecified cell type, in relapse
C950	Acute leukemia of unspecified cell type, in remission
C951	Chronic leukemia of unspecified cell type, in relapse
C951	Chronic leukemia of unspecified cell type not having achieved remission
C951	Chronic leukemia of unspecified cell type, in remission
C957	Other leukaemia of unspecified cell type
C959	Leukemia, unspecified, in remission
C959	Leukemia, unspecified not having achieved remission
C959	Leukemia, unspecified, in relapse
C960	Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis
C962	Aggressive systemic mastocytosis
C962	Other malignant mast cell neoplasm
C962	Malignant mast cell neoplasm, unspecified
C962	Mast cell sarcoma
C964	Sarcoma of dendritic cells (accessory cells)
C965	Multifocal and unisystemic Langerhans-cell histiocytosis
C966	Unifocal Langerhans-cell histiocytosis
C967	Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue
C968	Histiocytic sarcoma
C969	Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified
C970	Malignant neoplasms of independent (primary) multiple sites
